SeqNo,Scheme,ErrorType,ErrorInjected,Detected,ExecutionTime_us
0,CRC-10,SingleBit,True,True,136
0,Checksum,SingleBit,True,True,10
0,CRC-8,SingleBit,True,True,527
0,CRC-16,SingleBit,True,True,1389
0,CRC-32,SingleBit,True,True,281
1,CRC-8,SingleBit,True,True,265
1,CRC-16,SingleBit,True,True,265
1,Checksum,SingleBit,True,True,5
1,CRC-32,SingleBit,True,True,99
1,CRC-10,SingleBit,True,True,268
2,Checksum,SingleBit,True,True,7
2,CRC-8,SingleBit,True,True,156
2,CRC-10,SingleBit,True,True,120
2,CRC-32,SingleBit,True,True,262
2,CRC-16,SingleBit,True,True,266
3,CRC-10,Clean,False,False,108
3,CRC-16,Clean,False,False,106
3,Checksum,Clean,False,False,4
3,CRC-32,Clean,False,False,268
3,CRC-8,Clean,False,False,110
4,CRC-32,Clean,False,False,138
4,CRC-16,Clean,False,False,150
4,Checksum,Clean,False,False,5
4,CRC-8,Clean,False,False,107
4,CRC-10,Clean,False,False,98
5,Checksum,Clean,False,False,10
5,CRC-10,Clean,False,False,208
5,CRC-32,Clean,False,False,108
5,CRC-8,Clean,False,False,101
5,CRC-16,Clean,False,False,257
6,Checksum,Clean,False,False,11
6,CRC-10,Clean,False,False,138
6,CRC-8,Clean,False,False,155
6,CRC-32,Clean,False,False,101
6,CRC-16,Clean,False,False,279
7,Checksum,Clean,False,False,4
7,CRC-10,Clean,False,False,278
7,CRC-32,Clean,False,False,277
7,CRC-8,Clean,False,False,262
7,CRC-16,Clean,False,False,288
8,CRC-32,SingleBit,True,True,172
8,CRC-16,SingleBit,True,True,334
8,CRC-8,SingleBit,True,True,118
8,Checksum,SingleBit,True,True,4
8,CRC-10,SingleBit,True,True,266
9,CRC-8,Clean,False,False,141
9,Checksum,Clean,False,False,4
9,CRC-32,Clean,False,False,262
9,CRC-16,Clean,False,False,107
9,CRC-10,Clean,False,False,307
0,CRC-10,DoubleBit,True,True,163
0,CRC-32,DoubleBit,True,True,99
0,Checksum,DoubleBit,True,True,4
0,CRC-8,DoubleBit,True,True,137
0,CRC-16,DoubleBit,True,True,95
1,CRC-16,Clean,False,False,125
1,CRC-10,Clean,False,False,264
1,Checksum,Clean,False,False,5
1,CRC-8,Clean,False,False,200
1,CRC-32,Clean,False,False,190
2,CRC-32,Clean,False,False,107
2,Checksum,Clean,False,False,4
2,CRC-16,Clean,False,False,120
2,CRC-10,Clean,False,False,100
2,CRC-8,Clean,False,False,95
3,CRC-16,Clean,False,False,156
3,CRC-32,Clean,False,False,137
3,Checksum,Clean,False,False,10
3,CRC-8,Clean,False,False,266
3,CRC-10,Clean,False,False,108
4,CRC-32,Clean,False,False,140
4,CRC-8,Clean,False,False,110
4,Checksum,Clean,False,False,11
4,CRC-16,Clean,False,False,261
4,CRC-10,Clean,False,False,140
5,CRC-8,DoubleBit,True,True,266
5,CRC-32,DoubleBit,True,True,148
5,CRC-16,DoubleBit,True,True,190
5,CRC-10,DoubleBit,True,True,139
5,Checksum,DoubleBit,True,True,5
6,CRC-32,DoubleBit,True,True,152
6,CRC-16,DoubleBit,True,True,265
6,CRC-10,DoubleBit,True,True,140
6,CRC-8,DoubleBit,True,True,268
6,Checksum,DoubleBit,True,True,5
7,Checksum,DoubleBit,True,True,4
7,CRC-8,DoubleBit,True,True,101
7,CRC-10,DoubleBit,True,True,100
7,CRC-16,DoubleBit,True,True,308
7,CRC-32,DoubleBit,True,True,121
8,Checksum,DoubleBit,True,True,10
8,CRC-32,DoubleBit,True,True,265
8,CRC-16,DoubleBit,True,True,265
8,CRC-10,DoubleBit,True,True,311
8,CRC-8,DoubleBit,True,True,106
9,CRC-8,DoubleBit,True,True,266
9,CRC-10,DoubleBit,True,True,265
9,CRC-32,DoubleBit,True,True,267
9,CRC-16,DoubleBit,True,True,153
9,Checksum,DoubleBit,True,True,5
0,CRC-8,Clean,False,False,201
0,Checksum,Clean,False,False,11
0,CRC-32,Clean,False,False,101
0,CRC-16,Clean,False,False,100
0,CRC-10,Clean,False,False,130
1,CRC-32,Clean,False,False,95
1,CRC-10,Clean,False,False,286
1,CRC-8,Clean,False,False,95
1,CRC-16,Clean,False,False,95
1,Checksum,Clean,False,False,4
2,CRC-16,OddErrors,True,True,111
2,CRC-10,OddErrors,True,True,139
2,CRC-8,OddErrors,True,True,269
2,CRC-32,OddErrors,True,True,100
2,Checksum,OddErrors,True,True,4
3,Checksum,Clean,False,False,4
3,CRC-16,Clean,False,False,186
3,CRC-8,Clean,False,False,102
3,CRC-32,Clean,False,False,264
3,CRC-10,Clean,False,False,266
4,CRC-32,OddErrors,True,True,187
4,CRC-8,OddErrors,True,True,100
4,CRC-10,OddErrors,True,True,264
4,CRC-16,OddErrors,True,True,137
4,Checksum,OddErrors,True,True,10
5,CRC-10,Clean,False,False,111
5,CRC-8,Clean,False,False,265
5,CRC-16,Clean,False,False,266
5,Checksum,Clean,False,False,10
5,CRC-32,Clean,False,False,109
6,CRC-10,OddErrors,True,True,163
6,CRC-32,OddErrors,True,True,276
6,Checksum,OddErrors,True,True,11
6,CRC-16,OddErrors,True,True,267
6,CRC-8,OddErrors,True,True,208
7,Checksum,Clean,False,False,4
7,CRC-10,Clean,False,False,263
7,CRC-8,Clean,False,False,266
7,CRC-16,Clean,False,False,922
7,CRC-32,Clean,False,False,262
8,CRC-10,Clean,False,False,263
8,CRC-32,Clean,False,False,266
8,CRC-8,Clean,False,False,139
8,CRC-16,Clean,False,False,137
8,Checksum,Clean,False,False,10
9,CRC-16,OddErrors,True,True,264
9,CRC-32,OddErrors,True,True,138
9,Checksum,OddErrors,True,True,5
9,CRC-8,OddErrors,True,True,99
9,CRC-10,OddErrors,True,True,188
0,CRC-10,Burst,True,True,158
0,Checksum,Burst,True,True,4
