protocol,window,p_error,p_loss,sweep_type,elapsed_s,frames_original,retransmissions,data_bytes,throughput_bps,efficiency_pct,avg_rtt_ms,srtt_ms,rto_ms,frames_dropped,frames_corrupted
saw,4,0.0,0.0,error_sweep,2.7199999999999998,490.0,0.0,22540.0,8292.45,100.0,0.38,0.0,50.0,0.0,0.0
gbn,4,0.0,0.0,error_sweep,3.1435,490.0,4.0,22540.0,7189.25,99.2,8.36,0.0,50.0,0.0,0.0
sr,4,0.0,0.0,error_sweep,32.083,490.0,0.0,22540.0,3848.25,100.0,9.45,0.0,50.0,0.0,0.0
saw,4,0.1,0.0,error_sweep,6.5845,490.0,53.0,22540.0,3431.6499999999996,90.25,0.605,0.0,50.0,0.0,53.0
gbn,4,0.1,0.0,error_sweep,6.2115,490.0,216.0,22540.0,3630.8,69.45,9.585,0.0,50.0,0.0,69.0
sr,4,0.1,0.0,error_sweep,3.4945,490.0,67.5,22540.0,6453.8,87.85,9.365,0.0,50.0,0.0,67.5
saw,4,0.2,0.0,error_sweep,84.037,490.0,132.0,22540.0,1027.35,78.80000000000001,0.64,0.0,50.0,0.0,132.0
gbn,4,0.2,0.0,error_sweep,9.8825,490.0,464.0,22540.0,2284.3,51.35,10.43,0.0,50.0,0.0,181.0
sr,4,0.2,0.0,error_sweep,457.5975,490.0,121.5,22540.0,2857.5,80.1,9.879999999999999,0.0,50.0,0.0,120.5
saw,4,0.3,0.0,error_sweep,15.654,490.0,195.0,22540.0,1441.25,71.55000000000001,0.69,0.0,50.0,0.0,195.0
gbn,4,0.3,0.0,error_sweep,103.5665,490.0,768.5,22540.0,900.0,39.0,11.995,0.0,50.0,0.0,372.0
sr,4,0.3,0.0,error_sweep,3.9880000000000004,490.0,235.5,22540.0,5658.65,67.55000000000001,9.155000000000001,0.0,50.0,0.0,235.5
saw,4,0.4,0.0,error_sweep,23.383499999999998,490.0,333.5,22540.0,963.95,59.5,0.73,0.0,50.0,0.0,333.5
gbn,4,0.4,0.0,error_sweep,19.182000000000002,490.0,1129.0,22540.0,1175.2,30.25,10.225000000000001,0.0,50.0,0.0,640.0
sr,4,0.4,0.0,error_sweep,4.3695,490.0,317.0,22540.0,5160.65,60.75,8.91,0.0,50.0,0.0,316.5
saw,4,0.5,0.0,error_sweep,34.766,490.0,520.5,22540.0,649.05,48.45,0.71,0.0,50.0,0.0,520.5
gbn,4,0.5,0.0,error_sweep,30.732,490.0,1965.5,22540.0,737.05,20.049999999999997,11.120000000000001,0.0,50.0,0.0,1240.5
sr,4,0.5,0.0,error_sweep,5.311999999999999,490.0,488.0,22540.0,4243.299999999999,50.1,8.325,0.0,50.0,0.0,487.5
saw,4,0.0,0.0,loss_sweep,2.9245,490.0,0.0,22540.0,7706.95,100.0,0.565,0.0,50.0,0.0,0.0
gbn,4,0.0,0.0,loss_sweep,2.6235,490.0,0.0,22540.0,8599.1,100.0,7.695,0.0,50.0,0.0,0.0
sr,4,0.0,0.0,loss_sweep,2.5815,490.0,0.0,22540.0,8735.25,100.0,7.595000000000001,0.0,50.0,0.0,0.0
saw,4,0.0,0.1,loss_sweep,6.1530000000000005,490.0,57.5,22540.0,3671.45,89.5,0.63,0.0,50.0,57.5,0.0
gbn,4,0.0,0.1,loss_sweep,5.593,490.0,221.5,22540.0,4041.6499999999996,68.9,7.22,0.0,50.0,76.0,0.0
sr,4,0.0,0.1,loss_sweep,4.3455,490.0,51.0,22540.0,5201.9,90.6,6.12,0.0,50.0,51.0,0.0
saw,4,0.0,0.2,loss_sweep,9.3215,490.0,114.5,22540.0,2419.75,81.05,0.7150000000000001,0.0,50.0,114.5,0.0
gbn,4,0.0,0.2,loss_sweep,9.1045,490.0,503.0,22540.0,2475.85,49.35,7.215,0.0,50.0,208.0,0.0
sr,4,0.0,0.2,loss_sweep,6.322,490.0,122.0,22540.0,3566.15,80.05000000000001,5.015,0.0,50.0,122.0,0.0
saw,4,0.0,0.3,loss_sweep,14.234,490.0,203.5,22540.0,1583.6999999999998,70.65,0.685,0.0,50.0,203.5,0.0
gbn,4,0.0,0.3,loss_sweep,13.753499999999999,490.0,830.0,22540.0,1655.6,37.4,6.835,0.0,50.0,409.0,0.0
sr,4,0.0,0.3,loss_sweep,8.220500000000001,490.0,214.5,22540.0,2763.95,69.55,3.96,0.0,50.0,214.5,0.0
saw,4,0.0,0.4,loss_sweep,21.3945,490.0,325.5,22540.0,1054.25,60.05,0.66,0.0,50.0,325.5,0.0
gbn,4,0.0,0.4,loss_sweep,18.823,490.0,1230.5,22540.0,1199.45,28.549999999999997,6.585,0.0,50.0,671.0,0.0
sr,4,0.0,0.4,loss_sweep,11.0735,490.0,335.0,22540.0,2046.5,59.5,3.265,0.0,50.0,335.0,0.0
saw,4,0.0,0.5,loss_sweep,31.1605,490.0,509.0,22540.0,723.4,49.05,0.69,0.0,50.0,509.0,0.0
gbn,4,0.0,0.5,loss_sweep,30.2155,490.0,2087.5,22540.0,746.35,19.0,6.165,0.0,50.0,1308.5,0.0
sr,4,0.0,0.5,loss_sweep,14.966000000000001,490.0,499.5,22540.0,1521.55,49.7,2.495,0.0,50.0,499.5,0.0
